id,id_sektor,naziv,zemljopisna_duzina,zemljopisna_sirina
16,3,Jaipur,26.9220700,75.7788850
17,1,Islamabad,33.7380450,73.0844880
18,2,Kabul,34.5438960,69.1606520
19,1,Herat,34.3430440,62.1990740
20,1,Kholm,51.1431232,23.4711986
21,4,Charikar,35.0130580,69.1688920
22,3,Solun,40.6436100,22.9308600
23,1,Patras,38.2466390,21.7345730
24,2,Kijev,50.4500010,30.5233330
25,1,Nikolajev,46.9659100,31.9974000
26,3,Pretorija,-25.7313400,28.2183700
27,2,Kaapstad,-33.9188610,18.4233000
28,4,Taipei,25.1054970,121.5973660
29,4,Kaohsiung,22.6333330,120.2666700
30,1,Ulsan,35.5499990,129.3166660
31,2,Busan,35.1666680,129.0666660
32,2,Sarajevo,43.8564300,18.4130290
33,4,Bihac,44.8119620,15.8685650
34,3,Caracas,10.5000000,-66.9166640
35,2,Maracaibo,10.6538600,-71.6459660
36,1,Stavanger,58.9699750,5.7331070
37,4,Narvik,68.4384990,17.4272610
38,4,Bern,46.9474560,7.4511230
39,1,Chur,46.8499000,9.5329000
40,3,Ohio,40.3674740,-82.9962160
41,2,Columbus,39.9833340,-82.9833300
