id,id_osoblje,id_misija
4000,10631,3029
4001,10709,3005
4002,10588,3011
4003,10981,3037
4004,10440,3016
4005,10573,3043
4006,10510,3010
4007,10611,3014
4008,10893,3028
4009,10661,3028
4010,10921,3018
4011,10298,3023
4012,10463,3050
4013,10879,3003
4014,10839,3042
4015,10586,3026
4016,10247,3047
4017,10244,3038
4018,10009,3047
4019,10476,3048
4020,10686,3043
4021,10354,3047
4022,10655,3023
4023,10929,3036
4024,10322,3042
4025,10316,3017
4026,10436,3042
4027,10828,3004
4028,10200,3040
4029,10511,3001
4030,10900,3024
4031,10882,3045
4032,10069,3047
4033,10365,3017
4034,10901,3032
4035,10923,3047
4036,10375,3036
4037,10021,3034
4038,10383,3021
4039,10005,3032
4040,10894,3008
4041,10217,3047
4042,10642,3049
4043,10543,3037
4044,10847,3001
4045,10408,3030
4046,10309,3029
4047,10953,3017
4048,10392,3019
4049,10808,3010
4050,10250,3046
4051,10202,3050
4052,10359,3022
4053,10046,3035
4054,10496,3001
4055,10608,3028
4056,10137,3049
4057,10389,3005
4058,10287,3015
4059,10285,3017
4060,10446,3029
4061,10783,3019
4062,10601,3038
4063,10254,3041
4064,10599,3003
4065,10457,3037
4066,10244,3026
4067,10787,3005
4068,10207,3024
4069,10793,3036
4070,10548,3042
4071,10510,3027
4072,10643,3040
4073,10688,3041
4074,10696,3012
4075,10978,3026
4076,10911,3042
4077,10376,3035
4078,10633,3003
4079,10768,3021
4080,10987,3001
4081,10847,3032
4082,10501,3008
4083,10348,3030
4084,10655,3008
4085,10830,3047
4086,10890,3013
4087,10516,3010
4088,10205,3008
4089,10080,3011
4090,10443,3006
4091,10566,3009
4092,10561,3034
4093,10307,3040
4094,10539,3024
4095,10612,3035
4096,10362,3001
4097,10632,3049
4098,10070,3006
4099,10757,3043
